Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479,8.0,Yes,11,3.0,1,0.0,8.0,0.5,1,6.0,4.0,0.0,5.0
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130.0,24907,1.0,No,23,3.0,4,1.0,10.0,3.0,3,10.0,7.0,1.0,7.0
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6.0,Yes,15,3.0,2,0.0,7.0,3.0,3,0.0,0.0,0.0,0.0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1.0,Yes,11,3.0,3,0.0,8.0,3.0,3,8.0,7.0,3.0,0.0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,8.5,No,12,3.0,4,1.0,6.0,3.0,3,2.0,2.0,2.0,2.0
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0.0,No,13,3.0,3,0.0,8.0,2.0,2,7.0,7.0,3.0,6.0
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4.0,Yes,20,3.0,1,2.5,12.0,3.0,2,1.0,0.0,0.0,0.0
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1.0,No,22,3.0,2,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0.0,No,21,3.0,2,0.0,10.0,2.0,3,9.0,7.0,1.0,8.0
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6.0,No,13,3.0,2,2.0,17.0,3.0,2,7.0,7.0,7.0,7.0
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0.0,No,13,3.0,3,1.0,6.0,4.5,3,5.0,4.0,0.0,3.0
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0.0,Yes,12,3.0,4,0.0,10.0,3.0,3,9.0,5.0,0.0,8.0
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1.0,No,17,3.0,4,1.0,5.0,1.0,2,5.0,2.0,4.0,3.0
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0.0,No,11,3.0,3,1.0,3.0,2.0,3,2.0,2.0,1.0,2.0
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5.0,Yes,14,3.0,2,0.0,6.0,4.0,3,4.0,2.0,0.0,3.0
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1.0,No,11,3.0,3,1.0,10.0,1.0,3,10.0,9.0,7.5,8.0
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0.0,Yes,12,3.0,4,2.0,7.0,4.5,2,6.0,2.0,0.0,5.0
22,No,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1.0,Yes,13,3.0,2,2.0,1.0,2.0,2,1.0,0.0,0.0,0.0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2.0,No,16,3.0,3,0.0,28.5,3.0,3,18.0,8.0,3.0,7.0
